cookie_id,cross_cookie__items_history7__ref_available,cross_cookie__items_history7__mean_peer_count,cross_cookie__items_history7__max_peer_count,cross_cookie__items_history7__mean_peer_fraction,cross_cookie__items_history7__max_peer_fraction,cross_cookie__items_history7__share_seen,cross_cookie__items_history7__share_seen_ge3,cross_cookie__items_history7__peer_share_shared_ge1,cross_cookie__items_history7__peer_share_shared_ge2,cross_cookie__items_history7__max_shared_value_count,cross_cookie__items_history7__max_own_overlap_fraction,cross_cookie__items_history7__max_jaccard_shared_ge2,cross_cookie__items_same_day__mean_peer_count,cross_cookie__items_same_day__max_peer_count,cross_cookie__items_same_day__mean_peer_fraction,cross_cookie__items_same_day__max_peer_fraction,cross_cookie__items_same_day__share_seen,cross_cookie__items_same_day__share_seen_ge3,cross_cookie__items_same_day__peer_share_shared_ge1,cross_cookie__items_same_day__peer_share_shared_ge2,cross_cookie__items_same_day__max_shared_value_count,cross_cookie__items_same_day__max_own_overlap_fraction,cross_cookie__items_same_day__max_jaccard_shared_ge2
ck_54a059eb7d3ea68b,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_7e4de46eeab82974,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_9320229ef6304522,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_30ccd25bc1714ed9,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_a77c5f05948cdeef,0.0,,,,,,,,,,,,0.3333333333333333,1.0,0.0004629629629629629,0.001388888888888889,0.3333333333333333,0.0,0.005555555555555556,0.0,1.0,0.08333333333333333,0.0
ck_ea6f843af2292fec,0.0,,,,,,,,,,,,0.25,1.0,0.00034722222222222224,0.001388888888888889,0.25,0.0,0.001388888888888889,0.0,1.0,0.25,0.0
ck_e38634dc2f188574,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_ad7f01440bb250d1,0.0,,,,,,,,,,,,0.4,1.0,0.0005555555555555556,0.001388888888888889,0.4,0.0,0.002777777777777778,0.0,1.0,0.2,0.0
ck_a7a58d28a4482bdc,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ck_e00e1e6c2a2ab4ac,0.0,,,,,,,,,,,,0.2,1.0,0.0002777777777777778,0.001388888888888889,0.2,0.0,0.001388888888888889,0.0,1.0,0.2,0.0
ck_443cc8bd57c7a4ca,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_3c4b9b2cebab9c92,0.0,,,,,,,,,,,,0.2,1.0,0.0002777777777777778,0.001388888888888889,0.2,0.0,0.001388888888888889,0.0,1.0,0.2,0.0
ck_b39259e62b556a17,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_46b2a4f75114c6a9,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_86bb8d44fd720965,0.0,,,,,,,,,,,,0.14285714285714285,1.0,0.0001984126984126984,0.001388888888888889,0.14285714285714285,0.0,0.001388888888888889,0.0,1.0,0.14285714285714285,0.0
ck_be4d455644772b4e,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_34637064ed85b7ab,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ck_4b1cef75ecc48e2b,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_8763034404efcfe8,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_6a026f2e1e6bb2f3,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_43729f582301bb19,0.0,,,,,,,,,,,,0.5,1.0,0.0006944444444444445,0.001388888888888889,0.5,0.0,0.004166666666666667,0.0,1.0,0.16666666666666666,0.0
ck_904e92d092e703e7,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_c0adce7e6cfedbcb,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_a05cdbbabf68cfc0,0.0,,,,,,,,,,,,0.2,1.0,0.0002777777777777778,0.001388888888888889,0.2,0.0,0.002777777777777778,0.0,1.0,0.1,0.0
ck_d069f57a5d733547,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_45d7dc4d450aead5,0.0,,,,,,,,,,,,0.5,1.0,0.0006944444444444445,0.001388888888888889,0.5,0.0,0.001388888888888889,0.0,1.0,0.5,0.0
ck_b0231b5d987a0948,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_07fd7a73be9fde03,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_cbb988870c3a5da2,0.0,,,,,,,,,,,,0.6666666666666666,1.0,0.0009259259259259259,0.001388888888888889,0.6666666666666666,0.0,0.002777777777777778,0.0,1.0,0.3333333333333333,0.0
ck_c84c4bc6e146c5ee,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_d89e9ea6502e5ea5,0.0,,,,,,,,,,,,0.125,1.0,0.00017361111111111112,0.001388888888888889,0.125,0.0,0.001388888888888889,0.0,1.0,0.125,0.0
ck_d1c990b29cc6b088,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_ce4a4243613e70e6,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ck_64db7c332256d82b,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck_abdcd3c166589f45,0.0,,,,,,,,,,,,0.25,1.0,0.00034722222222222224,0.001388888888888889,0.25,0.0,0.001388888888888889,0.0,1.0,0.25,0.0
ck_91bec20f99df0158,0.0,,,,,,,,,,,,0.08333333333333333,1.0,0.00011574074074074073,0.001388888888888889,0.08333333333333333,0.0,0.001388888888888889,0.0,1.0,0.08333333333333333,0.0
ck_57c202ad602dfe6d,0.0,,,,,,,,,,,,0.16666666666666666,1.0,0.00023148148148148146,0.001388888888888889,0.16666666666666666,0.0,0.001388888888888889,0.0,1.0,0.16666666666666666,0.0
ck_89a32f4f1f41726d,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
ck_a3bc0f2d525e5c25,0.0,,,,,,,,,,,,0.5,1.0,0.0006944444444444445,0.001388888888888889,0.5,0.0,0.001388888888888889,0.0,1.0,0.5,0.0
ck_b548490ce630d875,0.0,,,,,,,,,,,,0.1111111111111111,1.0,0.00015432098765432098,0.001388888888888889,0.1111111111111111,0.0,0.001388888888888889,0.0,1.0,0.1111111111111111,0.0
